,Noun,Frequency C1 relevant constr,Probability C1 relevant constr,C1 Entropy,C1 Entropy Adjusted Score,C1 Score
0,dust,55649,0.06019,1.047,6.299,0.998
1,sand,12406,0.01263,1.269,1.603,0.799
2,pollen,1398,0.00941,1.146,1.078,0.66
3,pebble,672,0.00795,0.879,0.699,0.503
4,gravel,1916,0.00783,0.764,0.598,0.45
5,rice,2258,0.0031,1.208,0.375,0.312
6,seed,10057,0.00704,0.46,0.324,0.276
7,berry,1689,0.00615,0.43,0.264,0.232
8,potato,1654,0.00248,0.799,0.198,0.18
9,cabbage,154,0.00131,0.83,0.109,0.103
10,bean,548,0.00098,1.095,0.107,0.101
11,apple,651,0.0011,0.795,0.087,0.084
12,grape,2942,0.0078,0.112,0.087,0.083
13,lentil,58,0.00098,0.84,0.082,0.079
14,furniture,1044,0.00108,0.619,0.067,0.065
15,ball,953,0.00042,1.01,0.042,0.041
16,chair,893,0.00075,0.515,0.038,0.038
17,kitchenware,3,0.00027,0.677,0.019,0.018
18,jewelry,130,0.00028,0.421,0.012,0.012
19,equipment,859,0.00021,0.527,0.011,0.011
20,car,878,0.0001,0.724,0.007,0.007
