noun,init_score,entropy,percent,noun_cat
air,0.0002,1.454941517594273,0.00029098830351885463,proto_mass
ammunition,0.054,1.4643455071670415,0.07907465738702024,OMN
asparagus,0.1308,1.8395809968144552,0.24061719438333073,granfil
ball,1.2819,1.3296479650085842,1.704475726344504,proto_count
bamboo,0.1412,1.8852412410371593,0.2661960632344469,granfil
bridge,1.0894,1.4062477403963667,1.5319662883878018,proto_count
car,0.5417,1.1507205633340218,0.6233453291580395,proto_count
celery,0.0473,1.7623102595166336,0.08335727527513677,granfil
chair,0.5958,1.4498670352626652,0.863830779609496,proto_count
clover,0.1399,1.5482257517302593,0.21659678266706328,granfil
crockery,0.0841,0.9205253345691209,0.07741618063726306,OMN
custard,0.0123,1.1193907847792142,0.013768506652784335,proto_mass
cutlery,0.0738,1.2722861794661473,0.09389472004460167,OMN
dog,1.4848,1.2181238559597038,1.8086703013289682,proto_count
equipment,0.1532,1.0099676373005397,0.15472704203444268,OMN
flat,2.4283,1.1038246317548253,2.680417353290242,proto_count
footwear,0.0277,1.7818477899324272,0.04935718378112823,OMN
furniture,0.1842,1.2075954381571299,0.22243907970854332,OMN
garlic,0.0133,1.341724025532444,0.017844929539581507,granfil
gas,0.0003,1.521947299790377,0.000456584189937113,proto_mass
glassware,0.0934,1.3793050057537841,0.12882708753740343,OMN
gold,0.0273,0.9378554111285602,0.025603452723809695,proto_mass
grass,1.5282,0.648514096671459,0.9910592425333237,granfil
gravel,0.3175,0.9737354342304901,0.3091610003681806,granfil
grit,0.2098,1.297882898365881,0.2722958320771618,granfil
hay,0.0413,1.0425104289559104,0.043055680715879105,granfil
jewellery,0.0484,1.3588603552253506,0.06576884119290696,OMN
livestock,0.3421,0.7888175850622602,0.2698544958497992,OMN
luggage,0.2521,1.1126036664381562,0.2804873843090592,OMN
mud,0.0015,1.5970263444554247,0.002395539516683137,proto_mass
oil,0.0003,1.4549415175942735,0.000436482455278282,proto_mass
pasta,0.2802,1.5524588095794336,0.4349989584441573,granfil
pen,0.4935,1.6192154765094484,0.7990828376574128,proto_count
pollen,0.0424,1.6730261344134132,0.07093630809912872,granfil
poultry,0.0633,1.1642930187281972,0.07369974808549488,OMN
rice,0.0351,1.5307775365835095,0.05373029153408118,granfil
rubble,0.1318,1.2057204302223186,0.15891395270330158,granfil
sand,0.0105,1.3088263222036278,0.013742676383138093,granfil
shampoo,0.0183,1.472446083564938,0.026945763329238367,proto_mass
shirt,0.3445,1.44165711337495,0.49665087555767023,proto_count
steel,0.0146,1.16596722083621,0.017023121424208667,proto_mass
wheat,0.0302,1.8591309095863804,0.05614575346950869,granfil
